,Date,Open,High,Low,Close,Volume,Polarity,Subjectivity,Adj Close
216,27-08-07,13318.42969,13387.33008,13305.54981,13322.12988,152440000,0.080497344,0.372220582,13322.12988
217,28-08-07,13043.07031,13318.59961,13034.78027,13041.84961,230470000,0,0,13041.84961
218,29-08-07,13287.91016,13293.44043,13043.07031,13289.29004,227440000,0.028419913,0.353145743,13289.29004
219,30-08-07,13240.83984,13315.13965,13184.58984,13238.73047,193240000,0.129058442,0.279220779,13238.73047
220,31-08-07,13358.38965,13428.9502,13240.83984,13357.74023,234920000,0.077613144,0.33521481,13357.74023
221,04-09-07,13442.84961,13494.05957,13317.5,13448.86035,262260000,0.10960336,0.365908397,13448.86035
222,05-09-07,13306.44043,13443.16992,13248.24023,13305.46973,231850000,0.097443182,0.317518939,13305.46973
223,06-09-07,13360.74023,13398.70996,13274.82031,13363.34961,203600000,0.038413547,0.287141018,13363.34961
224,07-09-07,13116.38965,13360.83008,13082.16992,13113.37988,238300000,0.117748918,0.407897508,13113.37988
225,10-09-07,13129.40039,13207.19043,13021.92969,13127.84961,221760000,0.107551955,0.36519511,13127.84961
226,11-09-07,13298.30957,13325.9502,13129.15039,13308.38965,200160000,0.124341057,0.387185684,13308.38965
227,12-09-07,13292.37988,13360.00977,13263.03027,13291.65039,195280000,0.065935148,0.390418518,13291.65039
228,13-09-07,13421.38965,13469.26953,13292.37988,13424.87988,209950000,0.124571078,0.446721814,13424.87988
229,14-09-07,13441.9502,13459.75,13323.83984,13442.51953,204780000,0.036363636,0.245021645,13442.51953
230,17-09-07,13403.17969,13451.54004,13362.37012,13403.41992,169710000,0.059609848,0.482643939,13403.41992
231,18-09-07,13740.61035,13739.95996,13403.17969,13739.38965,277620000,0.091922133,0.411095349,13739.38965
232,19-09-07,13813.51953,13867.5,13739.87988,13815.55957,276590000,0.066417853,0.339091979,13815.55957
233,20-09-07,13768.33008,13822.13965,13741.00977,13766.7002,200880000,0.12,0.21,13766.7002
234,21-09-07,13821.57031,13877.16992,13768.25,13820.19043,419390000,0.081296744,0.298686491,13820.19043
235,24-09-07,13757.83984,13874.41016,13750.92969,13759.05957,236690000,0,0,13759.05957
236,25-09-07,13779.29981,13787.19043,13696.30957,13778.65039,213040000,0.140955334,0.412431771,13778.65039
237,26-09-07,13879.53027,13915.79004,13779.29981,13878.15039,206560000,-0.010810114,0.287874097,13878.15039
238,27-09-07,13912.94043,13920.41992,13868.15039,13912.94043,156920000,0.235822917,0.39075,13912.94043
239,28-09-07,13895.70996,13924.80957,13850.26953,13895.62988,203030000,0,0,13895.62988
240,01-10-07,14087.13965,14115.50977,13893.50977,14087.54981,205720000,0.136363636,0.481212121,14087.54981
241,02-10-07,14038.86035,14107.46973,14012.11035,14047.30957,169270000,0.072604176,0.327117804,14047.30957
242,03-10-07,13967.88965,14038.94043,13947.73047,13968.04981,178920000,0.044818204,0.416838389,13968.04981
243,04-10-07,13969.07031,14010.41016,13951.62988,13974.30957,143300000,0,0,13974.30957
244,05-10-07,14065.36035,14124.54004,13968.83008,14066.00977,183540000,0.030357143,0.317857143,14066.00977
245,08-10-07,14043.73047,14067.95996,14009.66992,14043.73047,116420000,0.068720539,0.340395623,14043.73047
246,09-10-07,14165.01953,14166.96973,14034.38965,14164.53027,176740000,0,0,14164.53027
247,10-10-07,14079.09961,14165.01953,14009.50977,14078.69043,163280000,0.142118227,0.454267013,14078.69043
248,11-10-07,14016.33984,14198.09961,13950.25,14015.12012,235090000,0.094093434,0.311367003,14015.12012
249,12-10-07,14092.42969,14101.76953,14013.74023,14093.08008,178740000,0.05785124,0.254958678,14093.08008
250,15-10-07,13986.33984,14118.51953,13904.32031,13984.79981,220490000,0.031787972,0.394411763,13984.79981
251,16-10-07,13920.66016,13992.03027,13877.90039,13912.94043,229920000,0.004215637,0.360820062,13912.94043
252,17-10-07,13887.90039,14012.83984,13774.66992,13892.54004,315420000,-0.035586547,0.272661846,13892.54004
253,18-10-07,13888.46973,13913.75,13820.34961,13888.95996,205540000,0.009531558,0.380136402,13888.95996
254,19-10-07,13521.62012,13888.46973,13511.94043,13522.01953,332350000,0.100212442,0.308397425,13522.01953
255,22-10-07,13568.92969,13587.21973,13407.49023,13566.96973,229440000,0.135138889,0.317638889,13566.96973
256,23-10-07,13675.58008,13684.59961,13540.87988,13676.23047,206550000,0,0,13676.23047
257,24-10-07,13677.84961,13690.4502,13470.16016,13675.25,259150000,0.051502051,0.422632149,13675.25
258,25-10-07,13675.66016,13741.25977,13547.62988,13671.91992,274330000,0,0,13671.91992
259,26-10-07,13807.34961,13811.25,13675.25,13806.7002,311390000,0,0,13806.7002
260,29-10-07,13869.04004,13901.40039,13805.30957,13870.25977,207930000,0.171969697,0.346907537,13870.25977
261,30-10-07,13792.05957,13869.29004,13778.41016,13792.46973,189730000,0,0,13792.46973
262,31-10-07,13924.16016,13962.53027,13767.67969,13930.00977,277660000,0.096399682,0.392762216,13930.00977
263,01-11-07,13569.90039,13924.16016,13548.92969,13567.87012,335560000,0.042857143,0.116666667,13567.87012
264,02-11-07,13592.58008,13632.90039,13446.01953,13595.09961,279780000,0.043400611,0.312488792,13595.09961
265,05-11-07,13542.33984,13618.26953,13446.91016,13543.40039,259590000,0.112584318,0.360287991,13543.40039
